<string>Renforcement attaque
<string>Renforcement affinité
<string>Renforcement élémentaire
<string>Bonus attaque I
<string>Bonus affinité I
<string>Bonus tranchant/munitions I
<string>Bonus tranchant/munitions EX
<string>Boost élémentaire I
<string>Bonus attaque II
<string>Bonus attaque III
<string>Bonus attaque EX
<string>Bonus affinité II
<string>Bonus affinité III
<string>Bonus affinité EX
<string>Boost élémentaire II
<string>Boost élémentaire EX
<string><COLOR FF0000>#Rejected#</COLOR> ArtianBonus_NAME_18
